id,title_en,title_es,current_type,current_route,current_level,current_domain,learning_objective,actual_user_action,estimated_minutes,prerequisites,related_concepts,primary_sources,images,interactive_elements,technical_accuracy_status,content_depth,cognitive_load,duplication_candidates,target_route,target_stage,target_type,recommended_action,migration_notes,confidence
concept:incident-command,"Run an incident: command, ops, comms, planning","Dirige un incidente: mando, operaciones, comunicación, planeación",spine-concept,/[locale]/lesson/execution-delivery-l5,L5,execution-delivery,"Eight engineers are on the call, three are restarting things nobody asked about, and the customer update is 20 minutes late. Who is actually in charge?",read+answer-check+graded-checkpoint+self-graded-recall,3,oncall-and-runbooks,,"Google SRE Book, 'Managing Incidents' Ch.14 — Incident Command System roles (sre.google/sre-book/managing-incidents/)|Google SRE Book, 'Managing Incidents' Ch.14 — Incident Command System roles (sre.google/sre-book/managing-incidents/)",schematic:stack,order|match,sourced,8,556,,staff-engineer,S3,learn-session,KEEP,,high
concept:blameless-postmortem,Blameless postmortems that produce systemic fixes,Postmortems sin culpa que producen arreglos sistémicos,spine-concept,/[locale]/lesson/execution-delivery-l5,L5,execution-delivery,The outage happened because someone ran the wrong command against production. What has to change so the next person cannot make that same mistake?,read+answer-check+graded-checkpoint+self-graded-recall,3,incident-command,,"Google SRE Book, 'Postmortem Culture: Learning from Failure' Ch.15 (sre.google/sre-book/postmortem-culture/)|Google SRE Book, 'Postmortem Culture: Learning from Failure' Ch.15 (sre.google/sre-book/postmortem-culture/)",schematic:compare,order|cloze,sourced,7,504,,staff-engineer,S3,learn-session,KEEP,,high
concept:observability-high-cardinality,Design for the questions you can't predict: wide events,Diseña para las preguntas que no puedes prever: eventos anchos,spine-concept,/[locale]/lesson/execution-delivery-l5,L5,execution-delivery,"Checkout is slow only for one enterprise customer, on one build, behind one flag. Can your dashboards answer that, or must you ship new code first?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,golden-signals-and-symptom-alerting,otel-genai-semconv,"Majors, Fong-Jones & Miranda, 'Observability Engineering' (O'Reilly, 2022) + Google SRE Book, 'Monitoring Distributed Systems' Ch.6|Majors, Fong-Jones & Miranda, 'Observability Engineering' (O'Reilly, 2022) + Google SRE Book, 'Monitoring Distributed Systems' Ch.6",schematic:compare,spectrum|cloze|categorize,sourced,9,600,,staff-engineer,S3,learn-session,KEEP,,high
concept:execution-leadership-driving-large-ambiguous,"Execution Leadership: Driving Large, Ambiguous Initiatives to Done",Liderazgo de ejecución: llevar iniciativas grandes y ambiguas hasta el final,spine-concept,/[locale]/lesson/execution-delivery-l5,L5,execution-delivery,Five teams each report they are on track and the launch still slips a quarter. Where between them is the date actually being lost?,read+answer-check+graded-checkpoint+self-graded-recall,4,,,"Tanya Reilly, ""The Staff Engineer's Path"" (O'Reilly, 2022), Part II ""Execution,"" Chapter 5 ""Leading Big Projects."" Complemented by Will Larson's writing on driving execution and the Tech Lead archetype in ""Staff Engineer: Leadership Beyond the Management Track"" and on StaffEng.com.|Tanya Reilly, ""The Staff Engineer's Path"" (O'Reilly, 2022), Part II ""Execution,"" Chapter 5 ""Leading Big Projects."" Complemented by Will Larson's writing on driving execution and the Tech Lead archetype in ""Staff Engineer: Leadership Beyond the Management Track"" and on StaffEng.com.",schematic:flow,cloze|categorize,sourced,8,639,,staff-engineer,S3,learn-session,KEEP,,high
concept:chaos-resilience-engineering-fault-injection,Chaos and Resilience Engineering: Test Your Failure Assumptions Before Production Does,Ingeniería de caos y resiliencia: prueba tus supuestos de falla antes de que lo haga producción,spine-concept,/[locale]/lesson/execution-delivery-l5,L5,execution-delivery,"Your failover has never once run in production. What makes you believe it works, and how would you find out on a Tuesday afternoon instead of at 3am?",read+answer-check+graded-checkpoint+self-graded-recall,3,,,"Kripa Krishnan, ""Weathering the Unexpected"" (Google DiRT program), ACM Queue, vol. 10, no. 9, 2012; complemented by ""Principles of Chaos Engineering"" (principlesofchaos.org).|Kripa Krishnan, ""Weathering the Unexpected"" (Google DiRT program), ACM Queue, vol. 10, no. 9, 2012; complemented by ""Principles of Chaos Engineering"" (principlesofchaos.org).",schematic:flow,order|categorize,sourced,8,571,,staff-engineer,S3,learn-session,KEEP,,high
concept:paved-road-cd-platform,Make the right delivery path the easy one: paved-road CD,Haz que el camino de entrega correcto sea el fácil: CD pavimentado,spine-concept,/[locale]/lesson/execution-delivery-l6,L6,execution-delivery,You asked forty teams to adopt continuous delivery and eleven did. What would make the correct pipeline less work than the one they hand-rolled?,read+answer-check+graded-checkpoint+self-graded-recall,2,dora-as-team-signal|error-budget-loop|progressive-rollout,,"Forsgren, Humble & Kim, 'Accelerate' — CD & deployment automation capabilities + Google SRE 'paved road' concept|Forsgren, Humble & Kim, 'Accelerate' — CD & deployment automation capabilities + Google SRE 'paved road' concept",schematic:compare,categorize,sourced,7,519,,staff-engineer,S4,learn-session,KEEP,,high
concept:error-budget-policy-as-contract,Negotiate the error-budget policy as a cross-functional contract,Negocia la política de error budget como contrato interfuncional,spine-concept,/[locale]/lesson/execution-delivery-l6,L6,execution-delivery,"The error budget is gone by the tenth of the month. What exactly happens next, and did product sign that before the outage rather than during it?",read+answer-check+graded-checkpoint+self-graded-recall,3,error-budget-loop,,"The Site Reliability Workbook, 'Implementing SLOs' + 'Error Budget Policy' (sre.google/workbook/)|The Site Reliability Workbook, 'Implementing SLOs' + 'Error Budget Policy' (sre.google/workbook/)",schematic:flow,order|match,sourced,8,549,,staff-engineer,S4,learn-session,KEEP,,high
concept:toil-reduction-program,Treat toil as an engineering problem to cap and automate,Trata el toil como problema de ingeniería para acotar y automatizar,spine-concept,/[locale]/lesson/execution-delivery-l6,L6,execution-delivery,"Half of your team's week goes to manual restarts and access requests. Who pays for automating them, and how do you prove those hours are real?",read+answer-check+graded-checkpoint+self-graded-recall,2,blameless-postmortem,,"Google SRE Book, 'Eliminating Toil' Ch.5 (sre.google/sre-book/eliminating-toil/)|Google SRE Book, 'Eliminating Toil' Ch.5 (sre.google/sre-book/eliminating-toil/)",schematic:flow,categorize,sourced,7,532,,staff-engineer,S4,learn-session,KEEP,,high
concept:testing-and-review-standards-org,Set the org's testing and review bar without becoming the bottleneck,Fija el listón de pruebas y revisión de la organización sin ser el cuello de botella,spine-concept,/[locale]/lesson/execution-delivery-l6,L6,execution-delivery,Twelve teams have twelve definitions of 'tested'. How do you raise the floor for all of them without every pull request landing on your desk?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,test-strategy-for-a-feature|code-review-as-design-feedback,,"Google Engineering Practices (code review standard) + Forsgren, Humble & Kim, 'Accelerate' — test automation capability|Google Engineering Practices (code review standard) + Forsgren, Humble & Kim, 'Accelerate' — test automation capability",schematic:compare,spectrum|match|order,sourced,6,472,,staff-engineer,S4,learn-session,KEEP,,high
concept:leading-large-scale-migrations-system,Leading Large-Scale Migrations: Reaching the Target State Without Breaking Production,Liderar migraciones a gran escala: llegar al estado objetivo sin romper producción,spine-concept,/[locale]/lesson/execution-delivery-l6,L6,execution-delivery,You have to replace the database under a system that cannot stop taking orders. How do you run both for months and still be able to turn back?,read+manipulate-widget+answer-check+assemble-architecture+graded-checkpoint+self-graded-recall,4,,,"Will Larson, ""Migrations: the sole scalable fix to tech debt"" (An Elegant Puzzle / lethain.com); Martin Fowler, ""StranglerFigApplication"" and ""ParallelChange"" (martinfowler.com)|Will Larson, ""Migrations: the sole scalable fix to tech debt"" (An Elegant Puzzle / lethain.com); Martin Fowler, ""StranglerFigApplication"" and ""ParallelChange"" (martinfowler.com)",schematic:flow,spectrum|order|categorize,sourced,7,531,,staff-engineer,S4,learn-session,KEEP,,high
concept:reliability-as-business-risk,Decide how much reliability the business should buy,Decide cuánta fiabilidad debería comprar el negocio,spine-concept,/[locale]/lesson/execution-delivery-l7,L7,execution-delivery,"Going from three nines to four costs millions a year. Who at your company gets to decide that is worth paying for, and on what evidence?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,3,error-budget-policy-as-contract,,"Google SRE Book, 'Embracing Risk' Ch.3 — cost of an extra nine & business risk appetite (sre.google/sre-book/embracing-risk/) + 'Service Level Objectives' Ch.4 — the 'Global Chubby Planned Outage' sidebar (Marc Alvidrez), where a controlled outage is synthesized by intentionally taking down the system (sre.google/sre-book/service-level-objectives/)|Google SRE Book, 'Embracing Risk' Ch.3 — cost of an extra nine & business risk appetite (sre.google/sre-book/embracing-risk/) + 'Service Level Objectives' Ch.4 — the 'Global Chubby Planned Outage' sidebar (Marc Alvidrez), where a controlled outage is triggered by intentionally taking the system down (sre.google/sre-book/service-level-objectives/)",schematic:axes,tradeoff-curve|order,sourced,9,655,,staff-engineer,S5,learn-session,KEEP,,high
concept:delivery-metrics-without-goodhart,"Use delivery metrics as a compass, never as a target","Usa las métricas de entrega como brújula, nunca como objetivo",spine-concept,/[locale]/lesson/execution-delivery-l7,L7,execution-delivery,"The week after deploy frequency goes on a leaderboard, deploys double and each one carries almost nothing. What were you measuring, and what did you get?",read+answer-check+graded-checkpoint+self-graded-recall,3,dora-as-team-signal,mrr-and-ndcg,"DORA, 'DORA's software delivery metrics' §Using metrics wisely (dora.dev/guides/dora-metrics-four-keys/) + 'Accelerate' Ch.2|DORA, 'DORA's software delivery metrics' §Using metrics wisely (dora.dev/guides/dora-metrics-four-keys/) + 'Accelerate' Ch.2",schematic:compare,categorize|match,sourced,8,545,,staff-engineer,S5,learn-session,KEEP,,high
concept:socio-technical-ownership-culture,Institutionalize ownership so it survives the reorg,Institucionaliza la propiedad para que sobreviva a la reorganización,spine-concept,/[locale]/lesson/execution-delivery-l7,L7,execution-delivery,The reorg moves the people and the service they used to run still pages someone at night. What has to be structural so ownership survives the next one?,read+answer-check+graded-checkpoint+self-graded-recall,3,toil-reduction-program|paved-road-cd-platform,,"Kim, Debois, Willis & Humble, 'The DevOps Handbook' + Google SRE Book, 'Postmortem Culture' Ch.15|Kim, Debois, Willis & Humble, 'The DevOps Handbook' + Google SRE Book, 'Postmortem Culture' Ch.15",schematic:compare,categorize|match,sourced,7,515,,staff-engineer,S5,learn-session,KEEP,,high
concept:delivery-strategy-alignment,Align the delivery-capability investment with business strategy,Alinea la inversión en capacidades de entrega con la estrategia de negocio,spine-concept,/[locale]/lesson/execution-delivery-l7,L7,execution-delivery,"You can fund one delivery investment next year: faster builds, a test platform, or AI coding tools. Which one moves the business, and how would you know?",read+answer-check+graded-checkpoint+self-graded-recall,3,delivery-metrics-without-goodhart|socio-technical-ownership-culture,,"Forsgren, Humble & Kim, 'Accelerate' (capabilities model) + DORA State of DevOps / DORA AI Capabilities Model (dora.dev)|Forsgren, Humble & Kim, 'Accelerate' (capabilities model) + DORA State of DevOps / DORA AI Capabilities Model (dora.dev)",schematic:flow,order,sourced,9,668,,staff-engineer,S5,learn-session,KEEP,,high
concept:code-review-communication,Communicating in code review,Comunicar en la revisión de código,spine-concept,/[locale]/lesson/direction-influence-l3,L3,direction-influence,Your comment says ‘you always forget to close connections’ and the author goes quiet. How do you phrase the same defect so it gets fixed instead of defended?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,3,,,"Google Engineering Practices, 'How to write code review comments' (google.github.io/eng-practices/review/reviewer/comments.html)|Google Engineering Practices, 'How to write code review comments' (google.github.io/eng-practices/review/reviewer/comments.html)",schematic:compare,spectrum|categorize,sourced,7,498,,staff-engineer,S1,learn-session,KEEP,,high
concept:writing-change-rationale,Writing the 'why' behind a change,Escribir el 'por qué' detrás de un cambio,spine-concept,/[locale]/lesson/direction-influence-l3,L3,direction-influence,"Rewriting a paragraph costs minutes; rewriting a shipped module costs days. What do you write down before the first line of code, and what must it answer?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,code-review-communication,,"Malte Ubl, 'Design Docs at Google' (industrialempathy.com/posts/design-docs-at-google/) — mini design docs, 1-3 pages|Malte Ubl, 'Design Docs at Google' (industrialempathy.com/posts/design-docs-at-google/) — mini design docs, 1-3 pages",schematic:stack,tradeoff-curve|order|match,sourced,7,493,,staff-engineer,S1,learn-session,KEEP,,high
concept:reading-design-docs,Reading a design doc critically,Leer un documento de diseño con criterio,spine-concept,/[locale]/lesson/direction-influence-l3,L3,direction-influence,"A design doc lands in your inbox and you already dislike its conclusion. Which three sections do you read first so you argue the tradeoffs, not the verdict?",read+answer-check+graded-checkpoint+self-graded-recall,2,writing-change-rationale,,"Malte Ubl, 'Design Docs at Google' (industrialempathy.com/posts/design-docs-at-google/)|Malte Ubl, 'Design Docs at Google' (industrialempathy.com/posts/design-docs-at-google/)",schematic:flow,categorize,sourced,7,496,,staff-engineer,S1,learn-session,KEEP,,high
concept:giving-receiving-feedback,Giving and receiving feedback well,Dar y recibir feedback con criterio,spine-concept,/[locale]/lesson/direction-influence-l3,L3,direction-influence,Every point in your review is correct and the author still reads it as an attack. What is missing when you only name what went wrong?,read+answer-check+graded-checkpoint+self-graded-recall,3,code-review-communication,,"Google Engineering Practices, 'How to write code review comments' (google.github.io/eng-practices/review/reviewer/comments.html) — reinforce good work; be kind and explanatory|Google Engineering Practices, 'How to write code review comments' (google.github.io/eng-practices/review/reviewer/comments.html) — reinforce good work; be kind and explanatory",schematic:axes,match|order,sourced,6,474,,staff-engineer,S1,learn-session,KEEP,,high
concept:authoring-design-docs,Authoring a design doc,Redactar un documento de diseño,spine-concept,/[locale]/lesson/direction-influence-l4,L4,direction-influence,"Three senior engineers would each build this feature differently. Does that mean you owe the team a design doc, or is shipping it today the better bet?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,reading-design-docs,,"Malte Ubl, 'Design Docs at Google' (industrialempathy.com/posts/design-docs-at-google/) — context/scope, goals/non-goals, the design|Malte Ubl, 'Design Docs at Google' (industrialempathy.com/posts/design-docs-at-google/) — context/scope, goals/non-goals, the design",schematic:flow,decision-flow|order|categorize,sourced,6,453,,staff-engineer,S2,learn-session,KEEP,,high
concept:alternatives-and-tradeoffs,Arguing alternatives and tradeoffs,Argumentar alternativas y compensaciones,spine-concept,/[locale]/lesson/direction-influence-l4,L4,direction-influence,Your doc offers one real option and two obvious losers. Why does that cost you the reader’s trust faster than admitting the chosen path has a price?,read+answer-check+graded-checkpoint+self-graded-recall,3,authoring-design-docs,,"Malte Ubl, 'Design Docs at Google' — 'Alternatives considered ... one of the most important'|Malte Ubl, 'Design Docs at Google' — 'Alternatives considered ... one of the most important'",schematic:compare,match|categorize,sourced,7,502,,staff-engineer,S2,learn-session,KEEP,,high
concept:structured-writing-scqa,Structured writing: lead with the answer,Escritura estructurada: liderar con la respuesta,spine-concept,/[locale]/lesson/direction-influence-l4,L4,direction-influence,A reviewer decides in thirty seconds whether to trust your doc. What belongs in the first paragraph instead of buried on page four?,read+answer-check+graded-checkpoint+self-graded-recall,3,authoring-design-docs,,"Will Larson, 'Presenting to Executives' (lethain.com/present-to-executives/) citing Barbara Minto, The Pyramid Principle|Will Larson, 'Presenting to Executives' (lethain.com/present-to-executives/) citing Barbara Minto, The Pyramid Principle",schematic:stack,order|match,sourced,8,539,,staff-engineer,S2,learn-session,KEEP,,high
concept:team-alignment,Building alignment within a team,Construir alineación dentro de un equipo,spine-concept,/[locale]/lesson/direction-influence-l4,L4,direction-influence,The doc is approved and two engineers are still building it two different ways. What did you fail to close before the review went wide?,read+answer-check+graded-checkpoint+self-graded-recall,3,structured-writing-scqa,,"Will Larson, 'Staff Engineer Archetypes' (staffeng.com/guides/staff-archetypes/) — Tech Lead builds alignment|Will Larson, 'Staff Engineer Archetypes' (staffeng.com/guides/staff-archetypes/) — Tech Lead builds alignment",schematic:compare,categorize|order,sourced,7,506,,staff-engineer,S2,learn-session,KEEP,,high
concept:disagree-and-commit,Disagree and commit,Disentir y comprometerse,spine-concept,/[locale]/lesson/direction-influence-l4,L4,direction-influence,"You argued against the streaming rewrite and lost. What do you owe that decision now, in standup and in Slack, once it is no longer open?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,team-alignment,,"Amazon Leadership Principles, 'Have Backbone; Disagree and Commit' (amazon.jobs/en/principles)|Amazon Leadership Principles, 'Have Backbone; Disagree and Commit' (amazon.jobs/en/principles)",schematic:axes,decision-flow|order|categorize,sourced,6,460,,staff-engineer,S2,learn-session,KEEP,,high
concept:stakeholder-mapping,Mapping stakeholders and terrain,Mapear interesados y terreno,spine-concept,/[locale]/lesson/direction-influence-l5,L5,direction-influence,"You want to merge three payment integrations into one service. Before proposing it, what must you know about who owns what and who dreads the change?",read+answer-check+graded-checkpoint+self-graded-recall,4,team-alignment,,"Tanya Reilly, 'The Staff Engineer's Path' (O'Reilly, 2022), Ch.2 'Three Maps'|Tanya Reilly, 'The Staff Engineer's Path' (O'Reilly, 2022), Ch.2 'Three Maps'; power/interest grid (Mendelow, 1991, stakeholder analysis)",schematic:stack,match|categorize,sourced,9,734,,staff-engineer,S3,learn-session,KEEP,,high
concept:influence-without-authority,Influence without authority,Influencia sin autoridad,spine-concept,/[locale]/lesson/direction-influence-l5,L5,direction-influence,"You have no reports and no budget, yet two teams must adopt your API design. Where does the authority to make that happen actually come from?",read+answer-check+graded-checkpoint+self-graded-recall,3,stakeholder-mapping|disagree-and-commit,,"Tanya Reilly, 'The Staff Engineer's Path', Ch.8 'Good Influence at Scale'; Will Larson, Staff Archetypes (Architect earns authority via judgment)|Will Larson, 'Staff Engineer: Leadership Beyond the Management Track' (2021) — the Architect archetype and earning authority without positional power",schematic:compare,cloze|categorize,sourced,9,643,,staff-engineer,S3,learn-session,KEEP,,high
concept:technical-strategy-drafting,Drafting a technical strategy,Bosquejar una estrategia técnica,spine-concept,/[locale]/lesson/direction-influence-l5,L5,direction-influence,Nobody asked you to write the engineering strategy. Where do you find the direction that already exists instead of inventing one from a blank page?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,alternatives-and-tradeoffs|influence-without-authority,,"Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — 'write five design documents, and pull the similarities out' into your engineering strategy; Tanya Reilly, 'The Staff Engineer's Path', Ch.3 'Creating the Big Picture' (complementary big-picture framing)|Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — refine strategy from a handful of real design documents; Richard Rumelt, 'Good Strategy Bad Strategy' (2011) — the kernel: diagnosis, guiding policy, coherent actions; Tanya Reilly, 'The Staff Engineer's Path', Ch.3 'Creating the Big Picture'",schematic:flow,spectrum|order|cloze,sourced,9,672,,staff-engineer,S3,learn-session,KEEP,,high
concept:nemawashi-prealignment,Pre-aligning before the room (nemawashi),Alinear antes de la sala (nemawashi),spine-concept,/[locale]/lesson/direction-influence-l5,L5,direction-influence,"The review meeting is the first time the fraud lead sees your proposal. What should have happened the week before, one conversation at a time?",read+answer-check+graded-checkpoint+self-graded-recall,3,influence-without-authority,,"Will Larson, 'Presenting to Executives' (lethain.com) — nemawashi; StaffEng 'Manage Technical Quality' (misalignment = missing context)|Nemawashi (根回し), Toyota Production System / lean management practice: building consensus one conversation at a time before a formal decision",schematic:compare,order|match,sourced,9,653,,staff-engineer,S3,learn-session,KEEP,,high
concept:landing-staff-projects,Landing an ambiguous staff project,Aterrizar un proyecto de Staff ambiguo,spine-concept,/[locale]/lesson/direction-influence-l5,L5,direction-influence,"The problem is important, badly scoped, and its stakeholders disagree. That mess is why it landed on you, so how do you turn it into a public result?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,technical-strategy-drafting|nemawashi-prealignment,,"Will Larson, 'Staff Projects' (staffeng.com/guides/staff-projects/) — complex/ambiguous, divided stakeholders, a named bet|Will Larson, 'Staff Engineer: Leadership Beyond the Management Track' (2021) — leading important, ambiguous, contested projects",schematic:flow,decision-flow|cloze|order,sourced,8,620,,staff-engineer,S3,learn-session,KEEP,,high
concept:decision-rights-and-decision-quality,"Decision Rights and Reversibility: Who Decides, and Can You Undo It?",Derechos de decisión y reversibilidad: quién decide y si se puede deshacer,spine-concept,/[locale]/lesson/direction-influence-l5,L5,direction-influence,"An 80-message Slack thread about dropping a deprecated library, two weeks gone, nothing shipped. Who decides, and does a reversible call deserve this much process?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,,,"Jeff Bezos, 2015 Amazon Shareholder Letter (published April 2016) — Type 1 / Type 2 (one-way vs two-way door) decisions; and Bain & Company's RAPID(R) decision-rights framework.|Jeff Bezos, 2015 Amazon Shareholder Letter (published April 2016) — Type 1 / Type 2 (one-way vs two-way door) decisions; and Bain & Company's RAPID(R) decision-rights framework.",schematic:compare,decision-flow|categorize|match,sourced,8,702,,staff-engineer,S3,learn-session,KEEP,,high
concept:strategy-diagnosis-policy-action,"Strategy as diagnosis, policy, action","Estrategia como diagnóstico, política y acción",spine-concept,/[locale]/lesson/direction-influence-l6,L6,direction-influence,‘We will be the most reliable platform in our space.’ What is missing before that sentence counts as a strategy rather than an end state you wish for?,read+answer-check+graded-checkpoint+self-graded-recall,3,technical-strategy-drafting,,"Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) drawing on Richard Rumelt, 'Good Strategy, Bad Strategy'|Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) drawing on Richard Rumelt, 'Good Strategy, Bad Strategy'",schematic:flow,order|cloze,sourced,7,504,,staff-engineer,S4,learn-session,KEEP,,high
concept:guiding-policies-with-tradeoffs,Guiding policies with real tradeoffs,Políticas guía con compensaciones reales,spine-concept,/[locale]/lesson/direction-influence-l6,L6,direction-influence,Everyone nods at ‘use the right tool for the job.’ What test tells you a policy is steering decisions instead of forbidding nothing?,read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,strategy-diagnosis-policy-action,,"Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — applicable, enforced, creates leverage|Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — applicable, enforced, creates leverage",schematic:compare,decision-flow|match|categorize,sourced,6,469,,staff-engineer,S4,learn-session,KEEP,,high
concept:driving-quality-at-scale,Driving technical direction at scale,Impulsar la dirección técnica a escala,spine-concept,/[locale]/lesson/direction-influence-l6,L6,direction-influence,"Error handling is inconsistent across twelve services. Do you stand up a quality guild with a rubric, or is there something far cheaper to reach for first?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,4,guiding-policies-with-tradeoffs,,"Will Larson, 'Manage Technical Quality' (staffeng.com/guides/manage-technical-quality/) — seven-tool progression, technical vectors|Will Larson, 'Manage Technical Quality' (staffeng.com/guides/manage-technical-quality/) — seven-tool progression, technical vectors",schematic:stack,decision-flow|order|categorize,sourced,7,531,,staff-engineer,S4,learn-session,KEEP,,high
concept:executive-communication,Communicating with executives,Comunicarse con ejecutivos,spine-concept,/[locale]/lesson/direction-influence-l6,L6,direction-influence,"You have ten minutes with the VP. Do you ask whether to migrate off the monolith, or walk in with the recommendation and what you need from her?",read+answer-check+graded-checkpoint+self-graded-recall,3,structured-writing-scqa|landing-staff-projects,,"Will Larson, 'Presenting to Executives' (lethain.com/present-to-executives/) — know your purpose, propose an answer, don't fight feedback|Will Larson, 'Presenting to Executives' (lethain.com/present-to-executives/) — know your purpose, propose an answer, don't fight feedback",schematic:compare,cloze|match,sourced,7,526,,staff-engineer,S4,learn-session,KEEP,,high
concept:navigating-dissent-decisions,Navigating dissent and unblocking decisions,Navegar el disenso y destrabar decisiones,spine-concept,/[locale]/lesson/direction-influence-l6,L6,direction-influence,A migration has been ‘almost done’ for two months and no code is the blocker. Where do you look when the obstacle is people or an unmade decision?,read+answer-check+graded-checkpoint+self-graded-recall,3,executive-communication,,"Will Larson, 'Writing engineering strategy' (meet dissenters 1:1); Tanya Reilly, 'The Staff Engineer's Path', Ch.6 'Why Have We Stopped?'|Will Larson, 'Writing engineering strategy' (meet dissenters 1:1); Tanya Reilly, 'The Staff Engineer's Path', Ch.6 'Why Have We Stopped?'",schematic:flow,match|categorize,sourced,8,559,,staff-engineer,S4,learn-session,KEEP,,high
concept:multi-year-technical-vision,Setting a multi-year technical vision,Fijar una visión técnica plurianual,spine-concept,/[locale]/lesson/direction-influence-l7,L7,direction-influence,Arguing about the future in the abstract goes nowhere. How do you use five plausible strategies to say where the org must be in twenty-four months?,read+answer-check+graded-checkpoint+self-graded-recall,3,strategy-diagnosis-policy-action,,"Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — 'write five engineering strategies' and forecast two years out to get a vision|Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — write five strategies and forecast two years out to get a vision",schematic:flow,cloze|order,sourced,7,517,,staff-engineer,S5,learn-session,KEEP,,high
concept:org-wide-strategy-rollout,Running an org-wide strategy rollout,Ejecutar un despliegue de estrategia en toda la organización,spine-concept,/[locale]/lesson/direction-influence-l7,L7,direction-influence,Writing the strategy was the easy fifth of the work. What happens between the finished doc and an org that has actually changed how it builds?,read+answer-check+graded-checkpoint+self-graded-recall,3,multi-year-technical-vision|navigating-dissent-decisions,,"Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — executive rollout process, review impact in two months|Will Larson, 'Writing engineering strategy' (lethain.com/eng-strategies/) — executive rollout process, review impact in two months",schematic:flow,order|match,sourced,8,545,,staff-engineer,S5,learn-session,KEEP,,high
concept:scaling-influence-through-others,Scaling influence through others,Escalar la influencia a través de otros,spine-concept,/[locale]/lesson/direction-influence-l7,L7,direction-influence,"You could solve the hardest problem on the roadmap yourself, and faster. Why is taking it the wrong call, and what do you do instead?",read+manipulate-widget+answer-check+graded-checkpoint+self-graded-recall,5,influence-without-authority,,"Tanya Reilly, 'The Staff Engineer's Path', Ch.8 'Good Influence at Scale'; Will Larson, 'Manage Technical Quality' ('don't hoard impact')|Tanya Reilly, 'The Staff Engineer's Path', Ch.8 'Good Influence at Scale'; Will Larson, 'Manage Technical Quality' ('don't hoard impact')",schematic:axes,spectrum|categorize|cloze,sourced,7,647,,staff-engineer,S5,learn-session,KEEP,,high
concept:borrowed-authority-alignment,Wielding borrowed authority in alignment,Ejercer autoridad prestada manteniendo la alineación,spine-concept,/[locale]/lesson/direction-influence-l7,L7,direction-influence,People do what you say because everyone knows you speak for the VP. What keeps that loan from being recalled the first time you spend it badly?,read+answer-check+graded-checkpoint+self-graded-recall,4,scaling-influence-through-others|org-wide-strategy-rollout,,"Will Larson, 'Staff Engineer Archetypes' (staffeng.com/guides/staff-archetypes/) — Right Hand borrows authority, must stay aligned|Will Larson, ""Staff Engineer"" — Right Hand archetype; staffeng.com/guides/staff-archetypes",schematic:axes,match|categorize,sourced,9,701,,staff-engineer,S5,learn-session,KEEP,,high
concept:shaping-technical-bets,Shaping and sponsoring technical bets,Dar forma y patrocinar apuestas técnicas,spine-concept,/[locale]/lesson/direction-influence-l7,L7,direction-influence,"‘We should improve performance’ commits nobody. What changes when you name the bet, put a date on it, and find a sponsor who can fund it?",read+answer-check+graded-checkpoint+self-graded-recall,4,borrowed-authority-alignment,,"Will Larson, 'Staff Projects' (a named bet where failure matters) + 'Manage Technical Quality' (secure an empowered sponsor for programs)|Will Larson, ""An Elegant Puzzle"" / staffeng.com — sponsorship & staff projects",schematic:flow,order|cloze,sourced,8,701,,staff-engineer,S5,learn-session,KEEP,,high
concept:giving-direct-kind-feedback,"Giving Direct, Kind Feedback",Dar retroalimentación directa y amable,spine-concept,/[locale]/lesson/leveling-scope-l3,L3,leveling-scope,"You have quietly rewritten a teammate's pull request twice without telling them why. How do you say the hard thing so it lands as help, not as an attack?",read+answer-check+graded-checkpoint+self-graded-recall,3,,,"Lara Hogan, 'Feedback Equation' (larahogan.me/blog/feedback-equation); Kim Scott, 'Radical Candor' (care personally / challenge directly)|Lara Hogan, 'Feedback Equation' (larahogan.me/blog/feedback-equation); Kim Scott, 'Radical Candor' (care personally / challenge directly)",schematic:flow,cloze|order,sourced,8,600,,staff-engineer,S1,learn-session,KEEP,,high
